soundname	 nsyll	 npause	 dur	 phonationtime
CAT_F1_Su__O1	74	4	15.09	12.43
CAT_F1_Su__O2	106	7	20.76	16.92
CAT_F1_Su__O3	108	5	23.87	19.96
CAT_F1_Su__O4	123	11	28.47	22.42
CAT_F1_Su__O6	76	4	18.16	13.49
CAT_F1_Su__O8	111	8	24.57	18.95
CAT_F1_Su__O9	64	4	14.77	11.35
CAT_F1_Su__P0	96	8	23.68	18.53
CAT_F1_Su__P1	110	6	24.2	19.74
CAT_F1_Su__P2	94	5	21.5	17.33
CAT_F1_Su__P3	114	8	24.1	19.39
CAT_F1_Su__P8	99	6	22.48	17.9
CAT_F1_Su__P9	95	6	20.62	17.05
CAT_F1_Su__Q0	109	5	23.78	18.55
CAT_F1_Su__Q1	75	7	17.23	13.48
CAT_F2_De__O1	71	4	15.98	12.51
CAT_F2_De__O2	107	6	20.06	16.49
CAT_F2_De__O3	104	3	21.5	18.48
CAT_F2_De__O4	106	4	23.08	19.98
CAT_F2_De__O6	71	3	15.19	12.48
CAT_F2_De__O8	91	5	20.06	16.45
CAT_F2_De__O9	60	3	12.68	10.02
CAT_F2_De__P0	96	4	19.78	16.69
CAT_F2_De__P1	102	5	19.92	16.36
CAT_F2_De__P2	90	3	18.58	15.46
CAT_F2_De__P3	103	4	21.36	17.92
CAT_F2_De__P8	82	3	17.79	15.06
CAT_F2_De__P9	85	2	17.83	15.5
CAT_F2_De__Q0	100	4	19.78	16.71
CAT_F2_De__Q1	69	3	14.4	12.31
CAT_F3_Mo__O1	73	5	15.65	12.44
CAT_F3_Mo__O2	98	5	19.27	16.28
CAT_F3_Mo__O3	118	8	24.52	20.26
CAT_F3_Mo__O4	117	9	24.89	20.3
CAT_F3_Mo__O6	80	4	16.63	13.72
CAT_F3_Mo__O8	106	7	22.29	17.84
CAT_F3_Mo__O9	68	2	13	10.9
CAT_F3_Mo__P0	101	5	20.34	17.42
CAT_F3_Mo__P1	110	6	22.99	19.25
CAT_F3_Mo__P2	102	7	21.13	17.68
CAT_F3_Mo__P3	112	4	21.22	18.49
CAT_F3_Mo__P8	92	6	19.83	16.18
CAT_F3_Mo__P9	105	6	21.27	17.29
CAT_F3_Mo__Q0	112	9	23.59	19.02
CAT_F3_Mo__Q1	84	6	15.7	13.01
CAT_F4_Mi__O1	69	5	16.35	12.18
CAT_F4_Mi__O2	93	9	21.83	16.46
CAT_F4_Mi__O3	107	10	23.41	19.51
CAT_F4_Mi__O4	116	15	26.7	20.93
CAT_F4_Mi__O6	77	5	17.23	13.69
CAT_F4_Mi__O8	110	9	24.06	17.54
CAT_F4_Mi__O9	65	5	14.54	11.52
CAT_F4_Mi__P0	106	9	23.73	18.67
CAT_F4_Mi__P1	105	7	21.83	17.8
CAT_F4_Mi__P2	104	7	21.41	17.13
CAT_F4_Mi__P3	109	8	23.31	18.86
CAT_F4_Mi__P8	89	6	20.02	15.92
CAT_F4_Mi__P9	90	7	20.29	16.79
CAT_F4_Mi__Q0	98	10	22.76	17.65
CAT_F4_Mi__Q1	79	6	16.35	13.06
CAT_F5_An__O1	81	7	18.85	13.81
CAT_F5_An__O2	108	9	24.47	18.68
CAT_F5_An__O3	125	8	28.14	22.53
CAT_F5_An__O4	129	8	28.61	23.33
CAT_F5_An__O6	83	6	20.85	14.95
CAT_F5_An__O8	122	8	25.26	19.63
CAT_F5_An__O9	72	3	16.11	12.26
CAT_F5_An__P0	109	6	25.59	20.19
CAT_F5_An__P1	111	5	23.82	19.25
CAT_F5_An__P2	99	6	23.96	18.83
CAT_F5_An__P3	123	7	28.33	22.36
CAT_F5_An__P8	111	5	24.85	20.24
CAT_F5_An__P9	107	8	23.59	18.79
CAT_F5_An__Q0	107	8	24.8	19.39
CAT_F5_An__Q1	86	5	19.83	15.4
CAT_M1_Xa__O1	64	4	16.16	11.9
CAT_M1_Xa__O2	87	4	19.5	15.66
CAT_M1_Xa__O3	98	8	22.94	18
CAT_M1_Xa__O4	97	7	25.03	19.99
CAT_M1_Xa__O6	71	5	17.51	13.39
CAT_M1_Xa__O8	99	8	22.62	17.13
CAT_M1_Xa__O9	59	3	13.51	10.56
CAT_M1_Xa__P0	89	8	23.08	17.42
CAT_M1_Xa__P1	83	4	19.69	16.36
CAT_M1_Xa__P2	85	7	19.6	15.67
CAT_M1_Xa__P3	102	4	21.18	17.38
CAT_M1_Xa__P8	80	3	18.62	14.98
CAT_M1_Xa__P9	87	4	19.23	15.37
CAT_M1_Xa__Q0	95	3	21.55	17.44
CAT_M1_Xa__Q1	65	3	14.44	11.53
CAT_M2_Al__O1	56	5	15	11.46
CAT_M2_Al__O2	87	5	20.34	16.7
CAT_M2_Al__O3	95	11	23.82	19.12
CAT_M2_Al__O4	100	7	25.26	19.65
CAT_M2_Al__O6	70	5	16.35	13.55
CAT_M2_Al__O8	94	7	21.64	16.93
CAT_M2_Al__O9	55	4	13.89	10.47
CAT_M2_Al__P0	89	6	21.22	16.8
CAT_M2_Al__P1	87	5	20.67	17.07
CAT_M2_Al__P2	87	8	20.57	16.28
CAT_M2_Al__P3	105	7	22.76	19.15
CAT_M2_Al__P8	83	7	21.04	16.14
CAT_M2_Al__P9	88	6	21.64	16.42
CAT_M2_Al__Q0	94	8	23.13	17.68
CAT_M2_Al__Q1	69	7	17.18	13.37
CAT_M3_Da__O1	69	5	16.95	12.6
CAT_M3_Da__O2	92	6	20.15	16.1
CAT_M3_Da__O3	103	7	23.96	19.43
CAT_M3_Da__O4	102	10	24.8	19.32
CAT_M3_Da__O6	69	4	16.49	12.92
CAT_M3_Da__O8	99	8	20.8	16.2
CAT_M3_Da__O9	61	3	12.77	10.51
CAT_M3_Da__P0	88	6	21.13	17.15
CAT_M3_Da__P1	97	5	21.36	17.7
CAT_M3_Da__P2	86	5	19.83	15.95
CAT_M3_Da__P3	106	6	23.03	18.51
CAT_M3_Da__P8	90	7	19.55	14.96
CAT_M3_Da__P9	88	6	19.6	15.8
CAT_M3_Da__Q0	87	6	19.78	15.83
CAT_M3_Da__Q1	72	7	15.6	11.83
CAT_M4_Ma__O1	77	10	22.89	14.76
CAT_M4_Ma__O2	109	13	27.96	19.01
CAT_M4_Ma__O3	113	11	29.91	21.16
CAT_M4_Ma__O4	112	14	29.81	21.32
CAT_M4_Ma__O6	79	7	19.46	14.12
CAT_M4_Ma__O8	107	10	24.98	17.95
CAT_M4_Ma__O9	65	6	15.79	11.16
CAT_M4_Ma__P0	106	9	24.71	17.82
CAT_M4_Ma__P1	106	5	23.27	17.9
CAT_M4_Ma__P2	92	9	21.92	16.33
CAT_M4_Ma__P3	119	12	25.87	18.44
CAT_M4_Ma__P8	102	11	23.78	16.7
CAT_M4_Ma__P9	101	7	24.57	18.38
CAT_M4_Ma__Q0	117	8	25.03	19
CAT_M4_Ma__Q1	80	9	20.11	13.66
CAT_M5_Jo__O1	71	3	16.81	13.48
CAT_M5_Jo__O2	83	8	21.41	16.67
CAT_M5_Jo__O3	104	11	26.66	20.8
CAT_M5_Jo__O4	101	14	30.56	23.48
CAT_M5_Jo__O6	68	5	20.76	15.69
CAT_M5_Jo__O8	83	13	24.71	17.42
CAT_M5_Jo__O9	58	4	14.26	11.04
CAT_M5_Jo__P0	90	13	26.28	19.09
CAT_M5_Jo__P1	92	9	24.94	18.71
CAT_M5_Jo__P2	76	6	20.25	15.98
CAT_M5_Jo__P3	94	9	27.96	20.06
CAT_M5_Jo__P8	90	9	25.08	19.68
CAT_M5_Jo__P9	84	7	22.15	17.72
CAT_M5_Jo__Q0	90	9	23.08	18.19
CAT_M5_Jo__Q1	68	6	18.48	14.64
CMN_F1_Hu__O1	48	3	14.07	10.62
CMN_F1_Hu__O2	67	2	16.07	11.94
CMN_F1_Hu__O3	60	3	16.53	12.21
CMN_F1_Hu__O4	75	4	17.97	14.69
CMN_F1_Hu__O6	45	3	15.42	10.88
CMN_F1_Hu__O8	53	4	14.68	11.37
CMN_F1_Hu__O9	48	2	12.4	9.87
CMN_F1_Hu__P0	88	3	20.15	16.93
CMN_F1_Hu__P1	55	3	15.98	12.18
CMN_F1_Hu__P2	58	2	14.4	11.37
CMN_F1_Hu__P3	69	5	18.11	14.44
CMN_F1_Hu__P8	67	3	15.98	13.23
CMN_F1_Hu__P9	62	5	17.32	12.7
CMN_F1_Hu__Q0	63	4	15.14	11.87
CMN_F1_Hu__Q1	40	3	13.05	9.53
CMN_F2_Yu__O1	51	4	12.96	10.22
CMN_F2_Yu__O2	60	4	14.63	12.09
CMN_F2_Yu__O3	63	5	15.09	12.35
CMN_F2_Yu__O4	76	3	17.18	14.61
CMN_F2_Yu__O6	53	4	13.42	10.81
CMN_F2_Yu__O8	56	7	15.09	11.41
CMN_F2_Yu__O9	53	3	11.8	9.88
CMN_F2_Yu__P0	86	6	20.94	17.75
CMN_F2_Yu__P1	56	6	15.42	12.47
CMN_F2_Yu__P2	54	3	13.98	11.8
CMN_F2_Yu__P3	81	5	17.83	14.94
CMN_F2_Yu__P8	74	7	17.32	13.7
CMN_F2_Yu__P9	68	5	16.11	13
CMN_F2_Yu__Q0	62	5	14.49	11.46
CMN_F2_Yu__Q1	49	5	12.96	9.97
CMN_F3_Ma__O1	58	4	14.81	11.66
CMN_F3_Ma__O2	65	6	18.67	14.58
CMN_F3_Ma__O3	67	10	17.6	13.59
CMN_F3_Ma__O4	77	9	21.92	16.89
CMN_F3_Ma__O6	54	4	16.07	12.07
CMN_F3_Ma__O8	55	8	16.86	12.3
CMN_F3_Ma__O9	48	5	13.84	10.61
CMN_F3_Ma__P0	91	5	22.85	18.43
CMN_F3_Ma__P1	63	7	19.41	14.2
CMN_F3_Ma__P2	53	8	17.46	12.37
CMN_F3_Ma__P3	77	8	21.18	16.53
CMN_F3_Ma__P8	70	8	18.95	14.19
CMN_F3_Ma__P9	75	6	17.6	14.19
CMN_F3_Ma__Q0	65	5	17.55	13.68
CMN_F3_Ma__Q1	56	5	14.58	11.22
CMN_F4_Fe__O1	53	6	13.24	9.83
CMN_F4_Fe__O2	59	3	14.3	11.23
CMN_F4_Fe__O3	58	6	14.49	11.5
CMN_F4_Fe__O4	77	7	19.6	15.31
CMN_F4_Fe__O6	57	4	14.07	10.75
CMN_F4_Fe__O8	61	7	15.42	11.5
CMN_F4_Fe__O9	46	4	12.54	9.07
CMN_F4_Fe__P0	89	7	20.81	17.54
CMN_F4_Fe__P1	64	5	16.39	12.72
CMN_F4_Fe__P2	61	6	15.14	11.57
CMN_F4_Fe__P3	70	8	18.48	14.36
CMN_F4_Fe__P8	74	11	20.25	15
CMN_F4_Fe__P9	70	7	16.72	13.01
CMN_F4_Fe__Q0	62	7	17.28	13.03
CMN_F4_Fe__Q1	47	5	12.91	9.65
CMN_F6_Xu__O1	53	5	12.68	9.12
CMN_F6_Xu__O2	64	5	14.26	10.25
CMN_F6_Xu__O3	66	7	14.63	10.71
CMN_F6_Xu__O4	78	6	16.86	12.98
CMN_F6_Xu__O6	55	5	12.82	9.47
CMN_F6_Xu__O8	57	7	13.28	9.55
CMN_F6_Xu__O9	49	4	11.52	8.17
CMN_F6_Xu__P0	99	10	21.08	16.12
CMN_F6_Xu__P1	62	7	14.54	10.93
CMN_F6_Xu__P2	54	9	13.98	9.41
CMN_F6_Xu__P3	81	7	17.46	13.4
CMN_F6_Xu__P8	69	12	17.46	12.03
CMN_F6_Xu__P9	69	7	15.51	11.49
CMN_F6_Xu__Q0	59	7	13.75	10.17
CMN_F6_Xu__Q1	55	6	12.4	8.96
CMN_M1_Cha__O1	62	4	13.24	11.38
CMN_M1_Cha__O2	64	4	14.72	13.15
CMN_M1_Cha__O3	71	6	15.56	13.63
CMN_M1_Cha__O4	84	5	18.07	16.18
CMN_M1_Cha__O6	69	4	14.12	12.55
CMN_M1_Cha__O8	69	6	14.95	12.81
CMN_M1_Cha__O9	55	4	12.03	10.55
CMN_M1_Cha__P0	103	5	21.78	19.62
CMN_M1_Cha__P1	68	7	15.51	13.01
CMN_M1_Cha__P2	63	6	14.91	12.49
CMN_M1_Cha__P3	76	6	18.25	15.81
CMN_M1_Cha__P8	74	4	17.93	15.6
CMN_M1_Cha__P9	82	5	16.25	14.68
CMN_M1_Cha__Q0	69	6	15.42	13.45
CMN_M1_Cha__Q1	59	4	12.86	10.7
CMN_M2_Ye__O1	48	5	11.66	8.29
CMN_M2_Ye__O2	61	5	14.86	10.9
CMN_M2_Ye__O3	54	8	14.16	10.14
CMN_M2_Ye__O4	66	5	16.21	13.31
CMN_M2_Ye__O6	54	5	12.91	9.46
CMN_M2_Ye__O8	53	7	13.75	10.11
CMN_M2_Ye__O9	43	4	11.56	8.25
CMN_M2_Ye__P0	86	7	19.13	15.8
CMN_M2_Ye__P1	52	7	13.37	10.03
CMN_M2_Ye__P2	49	7	13.47	9.81
CMN_M2_Ye__P3	66	8	16.25	12.5
CMN_M2_Ye__P8	68	11	17.37	12.29
CMN_M2_Ye__P9	63	8	15.7	11.7
CMN_M2_Ye__Q0	59	8	14.12	10.29
CMN_M2_Ye__Q1	45	5	12.12	8.78
CMN_M4_Yi__O1	51	5	13.93	11.07
CMN_M4_Yi__O2	64	5	17.37	14.42
CMN_M4_Yi__O3	60	7	17	14.08
CMN_M4_Yi__O4	74	7	19.32	16.35
CMN_M4_Yi__O6	59	5	14.3	12.04
CMN_M4_Yi__O8	57	7	16.35	13.18
CMN_M4_Yi__O9	50	4	12.54	10.58
CMN_M4_Yi__P0	92	11	23.96	20.03
CMN_M4_Yi__P1	57	5	16.53	13.4
CMN_M4_Yi__P2	59	6	15.42	12.58
CMN_M4_Yi__P3	67	7	17.83	14.91
CMN_M4_Yi__P8	78	12	20.71	15.85
CMN_M4_Yi__P9	69	9	18.44	14.85
CMN_M4_Yi__Q0	58	9	16.58	13.17
CMN_M4_Yi__Q1	57	6	14.58	10.94
CMN_M5_Qi__O1	47	4	12.86	9.94
CMN_M5_Qi__O2	57	3	13.98	11.75
CMN_M5_Qi__O3	53	2	12.86	10.95
CMN_M5_Qi__O4	78	5	17.18	14.31
CMN_M5_Qi__O6	52	2	11.7	9.96
CMN_M5_Qi__O8	48	3	12.21	10.13
CMN_M5_Qi__O9	46	3	12.17	10.09
CMN_M5_Qi__P0	84	4	18.3	15.46
CMN_M5_Qi__P1	59	4	15.51	12.91
CMN_M5_Qi__P2	50	3	14.44	11.23
CMN_M5_Qi__P3	69	4	16.72	13.68
CMN_M5_Qi__P8	67	4	14.49	12.58
CMN_M5_Qi__P9	68	3	14.77	12.77
CMN_M5_Qi__Q0	57	4	13.75	11.32
CMN_M5_Qi__Q1	46	3	11.52	8.84
CMN_M6_Na__O1	47	3	11.05	9.54
CMN_M6_Na__O2	62	5	12.82	10.49
CMN_M6_Na__O3	64	7	13.89	11.51
CMN_M6_Na__O4	77	5	15.46	13.38
CMN_M6_Na__O6	53	4	11.52	9.77
CMN_M6_Na__O8	58	6	12.03	9.85
CMN_M6_Na__O9	49	4	10.22	8.78
CMN_M6_Na__P0	87	8	19.13	16.12
CMN_M6_Na__P1	58	4	13.47	11.19
CMN_M6_Na__P2	57	6	12.91	10.74
CMN_M6_Na__P3	67	7	16.72	13.61
CMN_M6_Na__P8	70	6	15.09	12.76
CMN_M6_Na__P9	66	6	15.56	11.48
CMN_M6_Na__Q0	56	6	13.05	10.61
CMN_M6_Na__Q1	50	4	11.19	9.06
EUS_F1_Am__O1	75	3	15.7	12.89
EUS_F1_Am__O2	86	4	17.09	13.56
EUS_F1_Am__O3	85	4	18.11	14.24
EUS_F1_Am__O4	95	6	20.02	16.06
EUS_F1_Am__O6	75	3	14.81	11.89
EUS_F1_Am__O8	85	5	18.85	14.78
EUS_F1_Am__O9	45	4	10.4	7.14
EUS_F1_Am__P0	105	8	22.76	18.01
EUS_F1_Am__P1	88	4	17.79	14.05
EUS_F1_Am__P2	78	4	14.68	12.03
EUS_F1_Am__P3	86	5	18.16	13.92
EUS_F1_Am__P8	81	7	19.32	14.66
EUS_F1_Am__P9	83	7	18.2	14.16
EUS_F1_Am__Q0	83	5	17.69	14.16
EUS_F1_Am__Q1	65	5	14.68	10.72
EUS_F2_Ux__O1	81	4	17.51	14.2
EUS_F2_Ux__O2	90	4	17.79	14.91
EUS_F2_Ux__O3	91	6	20.34	16.6
EUS_F2_Ux__O4	101	6	23.17	18.96
EUS_F2_Ux__O6	74	6	18.76	14.87
EUS_F2_Ux__O8	98	6	22.48	18.47
EUS_F2_Ux__O9	49	5	11.75	9.17
EUS_F2_Ux__P0	109	8	24.01	19.63
EUS_F2_Ux__P1	86	5	19.41	16.08
EUS_F2_Ux__P2	87	9	19.37	15.51
EUS_F2_Ux__P3	93	7	20.94	17.27
EUS_F2_Ux__P8	89	6	20.39	17.21
EUS_F2_Ux__P9	91	10	22.38	16.9
EUS_F2_Ux__Q0	92	6	20.48	16.95
EUS_F2_Ux__Q1	75	8	17.14	12.84
EUS_F3_En__O1	90	4	16.63	13.72
EUS_F3_En__O2	92	6	18.02	14.51
EUS_F3_En__O3	90	6	21.04	16.28
EUS_F3_En__O4	105	7	22.2	17.92
EUS_F3_En__O6	81	6	17.41	14.25
EUS_F3_En__O8	92	5	20.15	16.8
EUS_F3_En__O9	51	4	11.1	8.64
EUS_F3_En__P0	110	7	23.41	19.46
EUS_F3_En__P1	94	8	20.02	16.15
EUS_F3_En__P2	86	6	17.09	14
EUS_F3_En__P3	91	4	18.39	15.47
EUS_F3_En__P8	88	6	18.95	15.48
EUS_F3_En__P9	98	7	19.23	15.05
EUS_F3_En__Q0	95	7	20.06	16.24
EUS_F3_En__Q1	68	4	15.28	12.22
EUS_F4_Ux2__O1	83	7	18.48	14.37
EUS_F4_Ux2__O2	90	6	21.46	16.43
EUS_F4_Ux2__O3	96	8	21.18	16.76
EUS_F4_Ux2__O4	103	8	23.96	18.98
EUS_F4_Ux2__O6	81	5	20.06	15.56
EUS_F4_Ux2__O8	117	6	24.85	20.54
EUS_F4_Ux2__O9	52	4	13.42	10.26
EUS_F4_Ux2__P0	119	6	24.1	20.47
EUS_F4_Ux2__P1	100	5	22.34	17.66
EUS_F4_Ux2__P2	88	4	19.46	15.42
EUS_F4_Ux2__P3	95	5	20.76	16.75
EUS_F4_Ux2__P8	100	4	21.5	17.89
EUS_F4_Ux2__P9	94	6	21.27	17.33
EUS_F4_Ux2__Q0	108	4	21.32	18.1
EUS_F4_Ux2__Q1	73	4	15.93	12.87
EUS_F5_Am2__O1	75	3	16.07	12.83
EUS_F5_Am2__O2	91	6	20.25	15.28
EUS_F5_Am2__O3	91	8	21.32	15.56
EUS_F5_Am2__O4	103	7	21.08	16.98
EUS_F5_Am2__O6	75	4	16.63	13.44
EUS_F5_Am2__O8	104	3	20.62	16.68
EUS_F5_Am2__O9	52	5	11.24	8.27
EUS_F5_Am2__P0	107	5	21.41	18.37
EUS_F5_Am2__P1	98	6	19.46	15.25
EUS_F5_Am2__P2	85	2	14.91	12.86
EUS_F5_Am2__P3	89	6	18.81	14.96
EUS_F5_Am2__P8	86	5	18.76	15.31
EUS_F5_Am2__P9	93	5	19.32	15.49
EUS_F5_Am2__Q0	93	4	20.81	16.39
EUS_F5_Am2__Q1	64	5	15.05	11.19
EUS_M1_Bo__O1	73	5	15.09	11.9
EUS_M1_Bo__O2	81	4	16.21	12.97
EUS_M1_Bo__O3	79	3	16.81	13.67
EUS_M1_Bo__O4	102	7	19.18	15.6
EUS_M1_Bo__O6	76	4	14.35	11.76
EUS_M1_Bo__O8	102	5	18.72	14.92
EUS_M1_Bo__O9	43	4	9.98	7.44
EUS_M1_Bo__P0	107	6	21.5	17.66
EUS_M1_Bo__P1	93	4	16.58	13.63
EUS_M1_Bo__P2	85	6	16.21	12.62
EUS_M1_Bo__P3	87	6	17.55	13.76
EUS_M1_Bo__P8	88	4	20.11	16.22
EUS_M1_Bo__P9	85	5	17.88	14.7
EUS_M1_Bo__Q0	95	4	18.99	15.66
EUS_M1_Bo__Q1	66	4	13.84	10.8
EUS_M2_Ai__O1	78	7	20.06	14.52
EUS_M2_Ai__O2	82	6	21.36	15.8
EUS_M2_Ai__O3	74	7	21.97	15.23
EUS_M2_Ai__O4	95	10	24.57	17.92
EUS_M2_Ai__O6	79	7	18.58	13.85
EUS_M2_Ai__O8	87	7	23.41	17.25
EUS_M2_Ai__O9	46	4	11.98	8.49
EUS_M2_Ai__P0	102	14	28.61	19.41
EUS_M2_Ai__P1	81	7	20.53	15.23
EUS_M2_Ai__P2	72	7	18.53	13.39
EUS_M2_Ai__P3	83	8	21.64	15.41
EUS_M2_Ai__P8	76	10	22.71	15.98
EUS_M2_Ai__P9	80	8	23.08	15.67
EUS_M2_Ai__Q0	71	8	21.83	15.58
EUS_M2_Ai__Q1	51	5	16.21	11.4
EUS_M3_An__O1	68	4	15.51	11.47
EUS_M3_An__O2	75	4	15.33	11.98
EUS_M3_An__O3	81	4	17.65	14.21
EUS_M3_An__O4	100	6	19.18	15.19
EUS_M3_An__O6	79	3	15.19	12.05
EUS_M3_An__O8	91	4	19.04	15.48
EUS_M3_An__O9	40	4	10.31	7.31
EUS_M3_An__P0	105	4	21.59	17.51
EUS_M3_An__P1	86	4	17.46	13.7
EUS_M3_An__P2	82	4	15.51	11.81
EUS_M3_An__P3	83	4	17.74	13.83
EUS_M3_An__P8	78	4	18.2	14.74
EUS_M3_An__P9	85	5	17.37	13.75
EUS_M3_An__Q0	80	3	17.6	14.57
EUS_M3_An__Q1	58	4	13.14	10.07
EUS_M4_In__O1	89	7	19.83	14.84
EUS_M4_In__O2	89	6	21.69	15.95
EUS_M4_In__O3	89	7	22.2	16.38
EUS_M4_In__O4	106	7	24.89	19.11
EUS_M4_In__O6	88	4	19.64	15.68
EUS_M4_In__O8	103	7	24.24	18.64
EUS_M4_In__O9	44	4	12.4	8.72
EUS_M4_In__P0	109	7	26.28	20.65
EUS_M4_In__P1	85	5	21.18	16.56
EUS_M4_In__P2	85	6	18.9	14.39
EUS_M4_In__P3	93	8	21.59	16.3
EUS_M4_In__P8	89	7	21.73	16.89
EUS_M4_In__P9	91	6	20.15	16.13
EUS_M4_In__Q0	90	7	20.62	16.59
EUS_M4_In__Q1	73	5	15.33	11.97
EUS_M5_Ax__O1	77	7	18.11	13.76
EUS_M5_Ax__O2	87	8	22.48	16.55
EUS_M5_Ax__O3	92	11	21.97	16.79
EUS_M5_Ax__O4	109	14	30.23	21.53
EUS_M5_Ax__O6	82	7	21.55	16.13
EUS_M5_Ax__O8	109	12	27.63	20.77
EUS_M5_Ax__O9	45	4	12.21	9.62
EUS_M5_Ax__P0	111	12	27.91	21.28
EUS_M5_Ax__P1	101	10	26.56	19.06
EUS_M5_Ax__P2	86	8	21.87	16
EUS_M5_Ax__P3	97	11	26.98	18.12
EUS_M5_Ax__P8	90	10	24.52	18.03
EUS_M5_Ax__P9	89	11	23.36	18.2
EUS_M5_Ax__Q0	100	9	25.82	18.95
EUS_M5_Ax__Q1	66	6	17.41	13.05
FIN_F1_Ul__O1	62	5	18.67	12
FIN_F1_Ul__O2	82	6	21.78	14.92
