soundname	 nsyll	 npause	 dur	 phonationtime
FIN_F1_Ul__O3	84	7	19.97	14.12
FIN_F1_Ul__O4	95	9	24.43	17.28
FIN_F1_Ul__O6	60	6	18.62	11.82
FIN_F1_Ul__O8	90	9	22.62	15.05
FIN_F1_Ul__O9	50	4	15.33	9.47
FIN_F1_Ul__P0	85	8	21.46	15.62
FIN_F1_Ul__P1	82	6	21.59	14.62
FIN_F1_Ul__P2	74	5	19.04	12.92
FIN_F1_Ul__P3	92	9	23.73	15.37
FIN_F1_Ul__P8	73	5	19.6	13.75
FIN_F1_Ul__P9	85	6	23.13	15.54
FIN_F1_Ul__Q0	79	6	22.06	15.59
FIN_F1_Ul__Q1	58	5	17.18	10.71
FIN_F2_Re__O1	62	4	15.7	11.79
FIN_F2_Re__O2	72	4	19.13	13.39
FIN_F2_Re__O3	83	5	19.46	14.22
FIN_F2_Re__O4	95	5	21.59	16.58
FIN_F2_Re__O6	59	4	16.16	11.72
FIN_F2_Re__O8	75	5	19.5	14.36
FIN_F2_Re__O9	46	4	13.51	9.47
FIN_F2_Re__P0	82	8	20.9	14.85
FIN_F2_Re__P1	89	7	19.74	14.98
FIN_F2_Re__P2	79	5	18.58	14.02
FIN_F2_Re__P3	89	7	21.59	15.77
FIN_F2_Re__P8	77	7	19.41	13.41
FIN_F2_Re__P9	79	6	20.29	14.6
FIN_F2_Re__Q0	73	4	19.32	14.94
FIN_F2_Re__Q1	55	5	14.91	10.33
FIN_F3_Ki__O1	72	4	17.79	13.14
FIN_F3_Ki__O2	81	4	19.13	14.11
FIN_F3_Ki__O3	92	6	21.08	15.61
FIN_F3_Ki__O4	95	6	22.48	16.92
FIN_F3_Ki__O6	71	4	17.55	12.05
FIN_F3_Ki__O8	82	5	19.81	15.12
FIN_F3_Ki__O9	57	4	15.37	10.2
FIN_F3_Ki__P0	84	4	20.67	15.3
FIN_F3_Ki__P1	92	7	22.66	16.49
FIN_F3_Ki__P2	82	6	20.71	15.27
FIN_F3_Ki__P3	101	6	23.5	17.01
FIN_F3_Ki__P8	86	6	18.3	13.22
FIN_F3_Ki__P9	87	6	21.41	15.65
FIN_F3_Ki__Q0	83	3	19.04	14.99
FIN_F3_Ki__Q1	65	5	17	11.92
FIN_F4_Pri__O1	73	4	16.67	12.09
FIN_F4_Pri__O2	91	5	19.88	15.11
FIN_F4_Pri__O3	86	4	20.39	15.71
FIN_F4_Pri__O4	102	5	22.48	17.45
FIN_F4_Pri__O6	70	4	16.49	12.47
FIN_F4_Pri__O8	90	4	19.88	15.27
FIN_F4_Pri__O9	57	4	14.72	9.97
FIN_F4_Pri__P0	91	4	20.57	16.11
FIN_F4_Pri__P1	88	4	20.71	16.02
FIN_F4_Pri__P2	91	4	19.97	15.24
FIN_F4_Pri__P3	91	6	21.32	16.55
FIN_F4_Pri__P8	81	4	18.67	14.36
FIN_F4_Pri__P9	83	5	20.43	15.3
FIN_F4_Pri__Q0	86	3	20.57	16.21
FIN_F4_Pri__Q1	64	4	15.93	11.3
FIN_F5_Ma__O1	59	4	17.37	11.84
FIN_F5_Ma__O2	68	4	19.41	11.76
FIN_F5_Ma__O3	79	6	18.95	14.44
FIN_F5_Ma__O4	83	6	22.24	16.72
FIN_F5_Ma__O6	62	4	16.67	11.85
FIN_F5_Ma__O8	74	5	20.57	14.83
FIN_F5_Ma__O9	43	4	15	10.11
FIN_F5_Ma__P0	81	4	20.25	15.41
FIN_F5_Ma__P1	76	5	20.06	14.7
FIN_F5_Ma__P2	83	6	19.46	14.29
FIN_F5_Ma__P3	87	6	21.18	15.62
FIN_F5_Ma__P8	74	5	18.99	13.49
FIN_F5_Ma__P9	76	5	20.43	15.05
FIN_F5_Ma__Q0	71	5	20.48	15.13
FIN_F5_Ma__Q1	59	4	15.84	11.34
FIN_M1_Ee__O1	57	4	18.72	12.27
FIN_M1_Ee__O2	79	5	20.29	14.16
FIN_M1_Ee__O3	77	5	21.5	14.66
FIN_M1_Ee__O4	74	5	23.08	17.12
FIN_M1_Ee__O6	68	4	19.09	13.19
FIN_M1_Ee__O8	70	5	21.41	14.67
FIN_M1_Ee__O9	49	4	15.88	10.51
FIN_M1_Ee__P0	74	4	21.22	15.61
FIN_M1_Ee__P1	74	4	21.92	15.5
FIN_M1_Ee__P2	61	4	18.95	13.91
FIN_M1_Ee__P3	83	6	23.73	17.21
FIN_M1_Ee__P8	64	4	21.18	14.39
FIN_M1_Ee__P9	66	5	22.2	15.68
FIN_M1_Ee__Q0	63	4	21.13	15.52
FIN_M1_Ee__Q1	55	4	18.11	11.65
FIN_M2_He__O1	61	4	16.11	11.57
FIN_M2_He__O2	74	5	19.32	14.53
FIN_M2_He__O3	71	6	19.83	14.69
FIN_M2_He__O4	84	5	22.48	17.44
FIN_M2_He__O6	63	4	15.69	12.17
FIN_M2_He__O8	77	6	20.71	15.11
FIN_M2_He__O9	55	4	15	10.04
FIN_M2_He__P0	87	8	21.83	16
FIN_M2_He__P1	82	4	21.46	16.12
FIN_M2_He__P2	75	4	19.74	14.87
FIN_M2_He__P3	87	5	21.04	15.9
FIN_M2_He__P8	74	5	18.81	13.69
FIN_M2_He__P9	72	5	20.48	15.16
FIN_M2_He__Q0	68	5	20.15	15
FIN_M2_He__Q1	53	4	15.84	11
FIN_M3_Mi__O1	67	4	17.51	11.96
FIN_M3_Mi__O2	85	4	18.67	14.11
FIN_M3_Mi__O3	87	4	23.17	16.19
FIN_M3_Mi__O4	91	5	24.66	17.46
FIN_M3_Mi__O6	62	4	17.74	11.99
FIN_M3_Mi__O8	79	4	21.83	15.19
FIN_M3_Mi__O9	57	4	15.14	10.12
FIN_M3_Mi__P0	95	5	23.22	16.96
FIN_M3_Mi__P1	97	5	21.87	17.1
FIN_M3_Mi__P2	76	6	21.22	14.72
FIN_M3_Mi__P3	93	5	21.73	16.34
FIN_M3_Mi__P8	80	4	19.78	14.32
FIN_M3_Mi__P9	74	6	20.9	15.28
FIN_M3_Mi__Q0	83	3	21.5	16.35
FIN_M3_Mi__Q1	58	4	16.25	11.48
FIN_M4_Ma__O1	84	5	21.78	14.32
FIN_M4_Ma__O2	102	5	25.63	18.48
FIN_M4_Ma__O3	99	6	26.52	19.08
FIN_M4_Ma__O4	110	6	28.1	21.4
FIN_M4_Ma__O6	73	6	20.71	15.23
FIN_M4_Ma__O8	102	6	25.68	18.74
FIN_M4_Ma__O9	68	4	19.74	13.27
FIN_M4_Ma__P0	98	7	26.66	19.75
FIN_M4_Ma__P1	108	10	28.61	20.45
FIN_M4_Ma__P2	91	7	25.77	18.73
FIN_M4_Ma__P3	110	9	25.73	19.05
FIN_M4_Ma__P8	92	7	24.85	17.48
FIN_M4_Ma__P9	96	9	26.89	19.52
FIN_M4_Ma__Q0	99	7	26.1	19.27
FIN_M4_Ma__Q1	70	4	19.88	14.22
FIN_M5_Mt__O1	74	4	16.72	11.82
FIN_M5_Mt__O2	82	5	20.34	14.77
FIN_M5_Mt__O3	83	8	20.71	14.35
FIN_M5_Mt__O4	101	6	24.29	17.81
FIN_M5_Mt__O6	72	5	18.3	12.73
FIN_M5_Mt__O8	84	6	21.41	15.13
FIN_M5_Mt__O9	50	4	15.14	9.78
FIN_M5_Mt__P0	86	5	22.8	15.65
FIN_M5_Mt__P1	85	6	21.78	15.45
FIN_M5_Mt__P2	85	7	20.9	15.1
FIN_M5_Mt__P3	96	7	22.85	16.15
FIN_M5_Mt__P8	80	5	19.18	13.89
FIN_M5_Mt__P9	73	8	21.08	15.16
FIN_M5_Mt__Q0	80	6	20.71	15.32
FIN_M5_Mt__Q1	67	5	16.72	11.96
FRA_F1_Je__O1	69	4	16.67	12.93
FRA_F1_Je__O2	92	4	19.69	15.41
FRA_F1_Je__O3	77	3	18.48	14.92
FRA_F1_Je__O4	82	6	19.46	15.56
FRA_F1_Je__O6	66	4	16.67	12.65
FRA_F1_Je__O8	81	4	19.09	14.57
FRA_F1_Je__O9	54	3	13.75	9.52
FRA_F1_Je__P0	89	4	21.55	16.57
FRA_F1_Je__P1	84	4	20.53	16.01
FRA_F1_Je__P2	70	4	17	12.97
FRA_F1_Je__P3	93	5	21.08	16.85
FRA_F1_Je__P8	76	3	19.04	15.75
FRA_F1_Je__P9	77	5	19.23	15.66
FRA_F1_Je__Q0	79	4	18.99	14.87
FRA_F1_Je__Q1	56	4	14.49	11.05
FRA_F2_Be__O1	80	4	17.97	13.24
FRA_F2_Be__O2	87	4	21.22	14.65
FRA_F2_Be__O3	82	3	19.32	13.95
FRA_F2_Be__O4	87	3	19.83	15.25
FRA_F2_Be__O6	66	4	18.2	12.53
FRA_F2_Be__O8	79	4	20.2	13.5
FRA_F2_Be__O9	61	5	14.72	9.61
FRA_F2_Be__P0	86	5	23.08	16.35
FRA_F2_Be__P1	94	4	21.97	16.87
FRA_F2_Be__P2	74	5	19.46	13.04
FRA_F2_Be__P3	102	7	24.47	16.99
FRA_F2_Be__P8	77	8	21.5	14.33
FRA_F2_Be__P9	74	9	21.18	14.82
FRA_F2_Be__Q0	89	7	21.46	15.65
FRA_F2_Be__Q1	59	4	15.84	11.18
FRA_F3_Ma__O1	70	2	15.51	11.67
FRA_F3_Ma__O2	87	4	18.76	14.35
FRA_F3_Ma__O3	79	2	16.76	13.25
FRA_F3_Ma__O4	85	2	18.02	14.29
FRA_F3_Ma__O6	55	3	15.09	10.85
FRA_F3_Ma__O8	76	3	17.51	13.35
FRA_F3_Ma__O9	57	2	13.47	9.67
FRA_F3_Ma__P0	79	5	19.74	14.74
FRA_F3_Ma__P1	85	2	18.72	14.61
FRA_F3_Ma__P2	76	3	16.63	12.42
FRA_F3_Ma__P3	95	5	20.2	15.59
FRA_F3_Ma__P8	80	4	17.69	13.41
FRA_F3_Ma__P9	78	3	18.07	13.99
FRA_F3_Ma__Q0	90	4	18.02	13.65
FRA_F3_Ma__Q1	59	1	13.47	10.23
FRA_F4_Lu__O1	69	4	16.39	12.51
FRA_F4_Lu__O2	87	5	20.15	15.19
FRA_F4_Lu__O3	79	4	17.88	13.5
FRA_F4_Lu__O4	88	4	18.25	14.09
FRA_F4_Lu__O6	74	4	17.04	12.73
FRA_F4_Lu__O8	85	5	18.25	14.24
FRA_F4_Lu__O9	62	4	13.65	9.87
FRA_F4_Lu__P0	88	5	20.39	15.99
FRA_F4_Lu__P1	93	5	21.18	16.19
FRA_F4_Lu__P2	78	3	17	13.21
FRA_F4_Lu__P3	102	4	20.81	16.78
FRA_F4_Lu__P8	78	4	17.74	13.51
FRA_F4_Lu__P9	84	4	18.72	14.64
FRA_F4_Lu__Q0	81	4	18.34	14.35
FRA_F4_Lu__Q1	59	3	14.35	10.76
FRA_F5_Na__O1	72	3	16.95	13.27
FRA_F5_Na__O2	94	4	20.99	16.23
FRA_F5_Na__O3	86	4	19.74	15.27
FRA_F5_Na__O4	89	5	21.87	17
FRA_F5_Na__O6	67	4	17.88	13.05
FRA_F5_Na__O8	82	5	19.83	14.97
FRA_F5_Na__O9	63	5	15.88	10.97
FRA_F5_Na__P0	88	4	22.48	17.89
FRA_F5_Na__P1	88	5	22.52	17.76
FRA_F5_Na__P2	78	4	18.34	13.79
FRA_F5_Na__P3	100	4	24.2	19.67
FRA_F5_Na__P8	83	4	19.92	15.01
FRA_F5_Na__P9	80	4	20.94	16.33
FRA_F5_Na__Q0	75	3	20.39	15.71
FRA_F5_Na__Q1	64	5	16.44	11.73
FRA_M1_Se__O1	67	3	15.19	11.05
FRA_M1_Se__O2	85	4	18.25	13.16
FRA_M1_Se__O3	79	4	17.09	12.78
FRA_M1_Se__O4	77	5	17.41	12.67
FRA_M1_Se__O6	65	4	16.39	11.46
FRA_M1_Se__O8	71	5	18.58	12.55
FRA_M1_Se__O9	57	3	14.16	9.32
FRA_M1_Se__P0	79	4	18.2	13.46
FRA_M1_Se__P1	82	4	19.5	13.81
FRA_M1_Se__P2	67	4	17.23	12.37
FRA_M1_Se__P3	83	6	19.83	14.54
FRA_M1_Se__P8	66	4	16.25	11.45
FRA_M1_Se__P9	76	7	18.76	13.29
FRA_M1_Se__Q0	73	5	16.49	11.95
FRA_M1_Se__Q1	52	4	13.75	9.18
FRA_M2_Ar__O1	60	4	15.51	11.86
FRA_M2_Ar__O2	85	5	19.09	14.84
FRA_M2_Ar__O3	79	4	18.44	14.07
FRA_M2_Ar__O4	75	5	18.44	13.64
FRA_M2_Ar__O6	65	3	16.11	12.25
FRA_M2_Ar__O8	77	3	17.93	14.05
FRA_M2_Ar__O9	57	2	13.75	10.22
FRA_M2_Ar__P0	88	7	21.08	16.96
FRA_M2_Ar__P1	87	4	20.11	15.98
FRA_M2_Ar__P2	70	4	17.18	12.51
FRA_M2_Ar__P3	95	5	19.41	15.91
FRA_M2_Ar__P8	78	3	17.14	12.99
FRA_M2_Ar__P9	77	5	17.55	13.21
FRA_M2_Ar__Q0	80	5	18.9	14.08
FRA_M2_Ar__Q1	58	1	13.1	10.3
FRA_M3_Pi__O1	64	4	16.95	12.06
FRA_M3_Pi__O2	84	5	20.39	15.34
FRA_M3_Pi__O3	72	5	19.41	14.23
FRA_M3_Pi__O4	76	4	19.88	15.32
FRA_M3_Pi__O6	60	5	17.28	11.5
FRA_M3_Pi__O8	65	5	17.93	12.59
FRA_M3_Pi__O9	54	3	14.68	10.07
FRA_M3_Pi__P0	78	5	20.48	15.25
FRA_M3_Pi__P1	74	4	20.62	14.58
FRA_M3_Pi__P2	68	5	16.95	12.02
FRA_M3_Pi__P3	97	4	21.78	17.46
FRA_M3_Pi__P8	68	5	17.97	12.61
FRA_M3_Pi__P9	60	8	20.11	13.93
FRA_M3_Pi__Q0	73	5	20.43	15.32
FRA_M3_Pi__Q1	55	3	14.54	10.29
FRA_M4_No__O1	57	4	15.05	10.6
FRA_M4_No__O2	61	4	16.9	11.99
FRA_M4_No__O3	73	5	17.04	11.85
FRA_M4_No__O4	71	4	17.41	13.06
FRA_M4_No__O6	53	4	14.68	9.92
FRA_M4_No__O8	64	4	15.37	10.97
FRA_M4_No__O9	48	4	12.68	7.9
FRA_M4_No__P0	74	4	18.9	13.73
FRA_M4_No__P1	79	4	19.37	13.76
FRA_M4_No__P2	61	4	16.58	10.77
FRA_M4_No__P3	79	5	19.32	14.12
FRA_M4_No__P8	62	3	15.98	11.27
FRA_M4_No__P9	71	4	18.25	13.19
FRA_M4_No__Q0	61	4	16.53	12.1
FRA_M4_No__Q1	52	3	13.84	9.39
FRA_M5_Chr__O1	68	4	16.39	11.2
FRA_M5_Chr__O2	79	5	18.62	13.62
FRA_M5_Chr__O3	77	5	17.83	12.63
FRA_M5_Chr__O4	80	5	19.32	13.92
FRA_M5_Chr__O6	63	5	16.63	11.11
FRA_M5_Chr__O8	73	7	17.93	11.77
FRA_M5_Chr__O9	56	4	12.59	8.3
FRA_M5_Chr__P0	83	6	19.6	14.33
FRA_M5_Chr__P1	87	4	20.2	14.12
FRA_M5_Chr__P2	73	5	17.69	11.94
FRA_M5_Chr__P3	91	7	21.46	15.14
FRA_M5_Chr__P8	69	5	18.16	12.65
FRA_M5_Chr__P9	75	8	18.67	13.37
FRA_M5_Chr__Q0	69	6	18.9	12.59
FRA_M5_Chr__Q1	53	4	14.21	9.35
HUN_F1_An__O1	77	4	22.99	17.01
HUN_F1_An__O2	105	7	29.21	23.12
HUN_F1_An__O3	100	5	25.36	20.55
HUN_F1_An__O4	118	7	32.09	25.61
HUN_F1_An__O6	73	4	20.02	15.58
HUN_F1_An__O8	96	6	26.7	20.13
HUN_F1_An__O9	73	4	20.06	14.9
HUN_F1_An__P0	116	5	31.58	24.72
HUN_F1_An__P1	111	4	29.91	22.9
HUN_F1_An__P2	93	5	24.8	19.78
HUN_F1_An__P3	107	5	30.93	23.26
HUN_F1_An__P8	86	6	26.28	19.6
HUN_F1_An__P9	104	5	30.28	22.63
HUN_F1_An__Q0	99	7	29.86	21.28
HUN_F1_An__Q1	87	5	26.05	20.15
HUN_F2_Ga__O1	70	4	19.27	14.73
HUN_F2_Ga__O2	97	6	24.33	18.97
HUN_F2_Ga__O3	90	4	23.22	18.33
HUN_F2_Ga__O4	106	6	27.07	20.91
HUN_F2_Ga__O6	61	4	17.09	12.79
HUN_F2_Ga__O8	83	6	23.36	17.5
HUN_F2_Ga__O9	64	4	17.79	12.76
HUN_F2_Ga__P0	102	7	27.68	20.97
HUN_F2_Ga__P1	96	5	25.82	19.67
HUN_F2_Ga__P2	90	6	22.38	17.52
HUN_F2_Ga__P3	95	5	25.26	19.62
HUN_F2_Ga__P8	84	5	22.89	16.97
HUN_F2_Ga__P9	96	6	25.12	19.38
HUN_F2_Ga__Q0	85	4	22.94	18.07
HUN_F2_Ga__Q1	85	4	21.55	16.56
HUN_F3_Il__O1	95	5	23.73	18.59
HUN_F3_Il__O2	118	6	28.42	23.51
HUN_F3_Il__O3	108	5	28.24	22.32
HUN_F3_Il__O4	149	8	34.09	27.6
HUN_F3_Il__O6	80	4	21.22	16.14
HUN_F3_Il__O8	109	5	28.14	22.01
HUN_F3_Il__O9	90	4	21.32	16.71
HUN_F3_Il__P0	129	6	33.16	28.01
HUN_F3_Il__P1	117	4	30.7	25.68
HUN_F3_Il__P2	101	4	21.65	18.32
HUN_F3_Il__P3	120	7	30.09	25.32
HUN_F3_Il__P8	95	5	25.77	20.91
HUN_F3_Il__P9	114	6	29.54	24.71
HUN_F3_Il__Q0	100	4	24.38	20.91
HUN_F3_Il__Q1	102	4	24.33	19.96
HUN_F4_As__O1	74	5	20.39	15.32
HUN_F4_As__O2	99	5	23.5	19.2
HUN_F4_As__O3	86	5	23.59	17.86
HUN_F4_As__O4	106	7	27.72	21.64
HUN_F4_As__O6	62	4	17.74	12.79
HUN_F4_As__O8	83	7	23.17	17.01
HUN_F4_As__O9	66	4	18.72	13.06
HUN_F4_As__P0	97	7	28.61	21.53
HUN_F4_As__P1	100	6	26.28	19.8
HUN_F4_As__P2	88	6	23.59	17.54
HUN_F4_As__P3	91	8	27.68	19.78
HUN_F4_As__P8	83	5	23.59	17.3
HUN_F4_As__P9	99	7	26.52	19.55
HUN_F4_As__Q0	84	7	24.75	17.93
HUN_F4_As__Q1	82	4	21.78	16.66
HUN_F5_Ju__O1	62	3	15.7	12.45
HUN_F5_Ju__O2	88	4	19.27	16.26
HUN_F5_Ju__O3	85	4	20.06	15.28
HUN_F5_Ju__O4	93	3	21.13	18.28
HUN_F5_Ju__O6	60	4	15.79	11.14
HUN_F5_Ju__O8	83	4	17.14	14.6
HUN_F5_Ju__O9	64	4	14.02	11.12
HUN_F5_Ju__P0	100	4	22.8	18.41
HUN_F5_Ju__P1	96	4	19.92	16.73
HUN_F5_Ju__P2	82	3	17.37	14.57
HUN_F5_Ju__P3	104	4	19.78	17.15
HUN_F5_Ju__P8	85	4	18.34	15.11
HUN_F5_Ju__P9	99	5	20.34	16.78
HUN_F5_Ju__Q0	89	3	18.3	15.36
HUN_F5_Ju__Q1	78	4	16.63	14.38
HUN_M1_Ar__O1	77	7	20.48	15.5
HUN_M1_Ar__O2	106	7	26.01	20.39
HUN_M1_Ar__O3	92	6	24.85	18.92
HUN_M1_Ar__O4	109	8	27.91	22.21
HUN_M1_Ar__O6	68	5	18.62	13.6
HUN_M1_Ar__O8	91	8	26.52	18.95
HUN_M1_Ar__O9	75	4	18.81	14.75
HUN_M1_Ar__P0	111	7	30.56	23.16
HUN_M1_Ar__P1	105	6	27.4	21.77
HUN_M1_Ar__P2	98	6	26.19	19.18
HUN_M1_Ar__P3	103	7	28.84	21.91
HUN_M1_Ar__P8	88	6	25.31	18.8
HUN_M1_Ar__P9	102	6	28	20.83
HUN_M1_Ar__Q0	92	7	25.91	20.16
HUN_M1_Ar__Q1	87	4	23.82	18.26
HUN_M2_Ma__O1	74	4	19.6	13.21
HUN_M2_Ma__O2	94	5	23.41	17.31
HUN_M2_Ma__O3	89	5	23.41	17.75
HUN_M2_Ma__O4	103	6	25.08	19.43
HUN_M2_Ma__O6	71	4	16.9	12.27
HUN_M2_Ma__O8	85	7	22.2	15.95
HUN_M2_Ma__O9	66	4	17.46	12.61
HUN_M2_Ma__P0	99	5	23.41	19.38
HUN_M2_Ma__P1	104	4	23.22	17.98
HUN_M2_Ma__P2	86	4	20.06	15.94
HUN_M2_Ma__P3	99	5	23.22	17.92
HUN_M2_Ma__P8	84	4	20.34	15.43
HUN_M2_Ma__P9	103	4	21.18	17.26
HUN_M2_Ma__Q0	86	4	21.18	16.2
HUN_M2_Ma__Q1	80	4	20.62	14.88
HUN_M3_Er__O1	73	4	18.15	13.9
HUN_M3_Er__O2	88	5	22.53	16.83
HUN_M3_Er__O3	85	4	20.49	15.99
HUN_M3_Er__O4	108	5	22.53	18.69
HUN_M3_Er__O6	65	4	15.51	10.97
HUN_M3_Er__O8	90	4	21.05	15.54
HUN_M3_Er__O9	69	4	15.92	11.15
HUN_M3_Er__P0	106	4	23.42	18.35
HUN_M3_Er__P1	92	4	22.65	17.3
HUN_M3_Er__P2	89	4	20.33	15.43
HUN_M3_Er__P3	105	4	22.18	17.25
HUN_M3_Er__P8	89	4	18.78	14.86
HUN_M3_Er__P9	98	4	22.81	17.59
HUN_M3_Er__Q0	90	4	21.38	15.8
HUN_M3_Er__Q1	86	4	19.22	14.73
HUN_M4_Ga__O1	79	6	20.94	14.82
HUN_M4_Ga__O2	108	7	24.47	18.58
HUN_M4_Ga__O3	101	6	23.31	17.55
HUN_M4_Ga__O4	115	10	26.8	20.12
HUN_M4_Ga__O6	66	4	16.67	12.29
HUN_M4_Ga__O8	95	11	24.06	17.12
HUN_M4_Ga__O9	74	6	17.74	12.74
HUN_M4_Ga__P0	116	9	26.52	20.04
HUN_M4_Ga__P1	112	8	25.17	19.06
HUN_M4_Ga__P2	96	6	20.99	15.86
HUN_M4_Ga__P3	104	9	25.5	18.45
HUN_M4_Ga__P8	92	6	22.62	16.32
HUN_M4_Ga__P9	108	6	23.82	17.91
HUN_M4_Ga__Q0	97	9	22.34	16.74
HUN_M4_Ga__Q1	90	6	20.39	15.41
HUN_M5_Mi__O1	83	4	17.93	14.83
HUN_M5_Mi__O2	104	6	22.43	18.65
HUN_M5_Mi__O3	96	5	22.62	18.56
HUN_M5_Mi__O4	108	8	25.12	20.44
HUN_M5_Mi__O6	64	4	15.84	11.92
HUN_M5_Mi__O8	91	8	21.13	16.45
HUN_M5_Mi__O9	74	4	16.58	12.87
HUN_M5_Mi__P0	107	8	25.36	20.46
HUN_M5_Mi__P1	101	8	24.2	19.06
HUN_M5_Mi__P2	96	7	22.34	17.24
HUN_M5_Mi__P3	99	8	23.03	18.11
HUN_M5_Mi__P8	87	6	20.85	16.58
HUN_M5_Mi__P9	108	10	25.36	19.54
HUN_M5_Mi__Q0	91	9	22.2	17.16
HUN_M5_Mi__Q1	90	4	20.94	16.99
JPN_F1_Ma__O1	75	7	22.24	15.86
JPN_F1_Ma__O2	100	7	28.89	22.34
JPN_F1_Ma__O3	94	7	27.26	21.28
JPN_F1_Ma__O4	93	6	27.31	21.1
JPN_F1_Ma__O6	84	5	24.43	17.61
JPN_F1_Ma__O8	102	8	28	21.06
JPN_F1_Ma__O9	48	4	15.98	10.69
